,HTP,ATP,HM1_D,HM1_L,HM1_W,HM2_D,HM2_L,HM2_W,HM3_D,HM3_L,HM3_W,AM1_D,AM1_L,AM1_W,AM2_D,AM2_L,AM2_W,AM3_D,AM3_L,AM3_W,HTGD,ATGD,DiffFormPts
491,-0.3978356889666521,-0.2967010979431509,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0.23550395261002208,1.2853491913632085,0.17647058823529413
492,-0.6182748909432962,-0.5190872586500862,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,-2.2987465059535332,-1.0073512622597371,-0.1176470588235294
493,-0.4178756164190743,-0.24615878869157473,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,-0.0716779211552574,2.0495826759041904,-0.17647058823529413
494,-0.5080552899549742,-0.41800264014693383,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,-1.5307918215403347,-0.7016578684433445,-0.17647058823529413
495,-0.4078556526928632,-0.49887033494945576,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0.5426858263753014,-0.6252345199892463,-0.05882352941176471
496,-0.3577558340618077,-0.48876187309914054,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.5426858263753014,-1.3894680045302283,-0.1176470588235294
497,-0.5280952174073963,-0.3876772545959881,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,-1.377200884657695,0.13899896455173552,-0.2352941176470588
498,-0.4579554713239187,-0.4078941782966186,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,-0.839632605568456,0.5211157068222265,0.1176470588235294
499,-0.4178756164190743,-0.41800264014693383,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,-0.6860416686858163,-0.09027108081055903,-0.05882352941176471
500,-0.4958086676229384,-0.6207334583671451,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,-0.5751148809372432,-2.251353545429225,0.3888888888888889
501,-0.24029959260455547,-0.2674988748200181,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2.1809891531234586,1.2131715844898934,0.1111111111111111
502,-0.28761608797833005,-0.48707712945742127,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1.5282276713722398,-1.385222262949445,0.2777777777777778
503,-0.4011756768753892,-0.4011552037297418,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,-0.06741150624185072,0.20268508826348403,-0.16666666666666666
504,-0.23083629352980056,-0.37251456182051523,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1.963401992539719,0.4192179088834289,0.5
505,-0.4674187703986736,-0.24840511354720032,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,-1.227876362688462,1.5018820119831533,-0.05555555555555555
506,-0.4958086676229384,-0.41070208436615063,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,-0.8652310950488958,-0.15820294610309074,-0.05555555555555555
507,-0.4011756768753892,-0.5061708907302389,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0.36776281492562846,-1.0965118354561851,0.2777777777777778
508,-0.48634536854818344,-0.2293113522743827,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,-1.3729344697442885,1.934947653223043,-0.3888888888888889
509,-0.4011756768753892,-0.46798336818460357,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0.22270470786980207,-0.8799790148362403,0.16666666666666666
510,-0.6193296239671079,-0.44034766107920953,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,-2.193657970191727,-0.7660143724046904,-0.15789473684210525
511,-0.4131293178119217,-0.3860811816722542,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,-0.2010176574774803,0.3964249803971189,-0.42105263157894735
512,-0.39519885640712293,-0.4132144213757319,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.5548114266555099,-0.2189840887332507,0.21052631578947367
513,-0.2696856265735313,-0.2956370493273282,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1.379352245709681,1.4221067622810688,-0.05263157894736842
514,-0.27865085727593064,-0.44939207431370226,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1.1732170409461382,-1.1079082996993401,-0.05263157894736842
515,-0.3593379335975252,-0.4946141404861651,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0.5548114266555099,-0.8343931578636203,-0.05263157894736842
516,-0.4131293178119217,-0.4765253140171799,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,-0.13230592255629936,-0.49249923056897055,-0.10526315789473684
